iter	Passed	Remaining
0	1	1849
1	3	1868
2	5	1864
3	7	1863
4	9	1852
5	11	1840
6	13	1858
7	15	1868
8	16	1857
9	18	1848
10	20	1845
11	22	1845
12	24	1842
13	26	1834
14	27	1826
15	29	1816
16	31	1809
17	33	1809
18	34	1802
19	36	1792
20	38	1785
21	40	1786
22	41	1781
23	43	1776
24	45	1772
25	47	1767
26	48	1760
27	50	1737
28	51	1731
29	53	1729
30	55	1726
31	56	1721
32	58	1717
33	60	1721
34	62	1716
35	63	1712
36	65	1707
37	67	1705
38	69	1702
39	70	1699
40	72	1702
41	89	2041
42	91	2036
43	93	2035
44	95	2028
45	97	2019
46	99	2009
47	101	2008
48	103	1999
49	104	1992
50	106	1984
51	108	1977
52	110	1971
53	112	1965
54	114	1959
55	115	1949
56	117	1943
57	119	1937
58	121	1934
59	123	1929
60	125	1925
61	126	1919
62	128	1914
63	130	1908
64	132	1902
65	134	1898
66	136	1894
67	137	1890
68	139	1885
69	141	1882
70	143	1879
71	145	1875
72	147	1874
73	149	1870
74	151	1865
75	153	1860
76	154	1857
77	156	1853
78	158	1848
79	160	1845
80	162	1840
81	163	1835
82	165	1830
83	167	1825
84	169	1821
85	171	1817
86	172	1813
87	174	1809
88	176	1805
89	178	1801
90	179	1797
91	181	1795
92	183	1791
93	185	1787
94	187	1784
95	189	1780
96	190	1777
97	192	1772
98	194	1769
99	196	1765
100	197	1761
101	199	1757
102	201	1754
103	203	1750
104	204	1746
105	206	1742
106	208	1742
107	210	1738
108	212	1733
109	213	1730
110	215	1727
111	217	1723
112	219	1720
113	221	1717
114	222	1714
115	224	1711
116	226	1707
117	228	1704
118	229	1702
119	231	1699
120	233	1695
121	235	1692
122	236	1689
123	238	1685
124	240	1682
125	242	1680
126	243	1677
127	245	1673
128	247	1670
129	249	1668
130	251	1665
131	252	1662
132	254	1659
133	256	1657
134	258	1654
135	259	1651
136	261	1647
137	263	1645
138	264	1637
139	266	1634
140	267	1631
141	269	1629
142	271	1627
143	273	1625
144	275	1622
145	276	1619
146	278	1616
147	280	1613
148	282	1611
149	283	1608
150	285	1605
151	287	1603
152	289	1600
153	290	1597
154	292	1594
155	294	1591
156	296	1589
157	297	1587
158	299	1585
159	301	1583
160	303	1581
161	305	1579
162	307	1577
163	309	1575
164	311	1573
165	312	1571
166	314	1569
167	316	1567
168	318	1565
169	320	1563
170	322	1562
171	324	1560
172	325	1557
173	327	1555
174	329	1553
175	331	1552
176	333	1551
177	336	1551
178	337	1547
179	339	1545
180	341	1545
181	343	1544
182	345	1542
183	347	1540
184	348	1536
185	350	1535
186	353	1535
187	354	1533
188	356	1531
189	358	1528
190	360	1527
